symbol,name,country
ACHV,Achieve Life Sciences Inc. Common Shares,United States
ACI,Albertsons Companies Inc. Class A Common Stock,United States
ACIC,American Coastal Insurance Corporation Common Stock,United States
ACIW,ACI Worldwide Inc. Common Stock,United States
ACLS,Axcelis Technologies Inc. Common Stock,United States
ACLX,Arcellx Inc. Common Stock,United States
ACM,AECOM Common Stock,United States
ACMR,ACM Research Inc. Class A Common Stock,United States
ACNB,ACNB Corporation Common Stock,United States
ACNT,Ascent Industries Co. Common Stock,United States
ACON,Aclarion Inc. Common Stock,United States
ACONW,Aclarion Inc. Warrant,United States
ACP,abrdn Income Credit Strategies Fund Common Shares,United States
ACR,ACRES Commercial Realty Corp. Common Stock,United States
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States
ACRS,Aclaris Therapeutics Inc. Common Stock,United States
ACRV,Acrivon Therapeutics Inc. Common Stock,United States
ACT,Enact Holdings Inc. Common Stock,United States
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States
ACTU,Actuate Therapeutics Inc. Common stock,United States
ACU,Acme United Corporation. Common Stock,United States
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States
ACVA,ACV Auctions Inc. Class A Common Stock,United States
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States
ADBE,Adobe Inc. Common Stock,United States
ADC,Agree Realty Corporation Common Stock,United States
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States
ADEA,Adeia Inc. Common Stock,United States
ADGM,Adagio Medical Holdings Inc Common Stock,United States
ADI,Analog Devices Inc. Common Stock,United States
ADIL,Adial Pharmaceuticals Inc Common Stock,United States
ADM,Archer-Daniels-Midland Company Common Stock,United States
ADMA,ADMA Biologics Inc Common Stock,United States
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States
ADNT,Adient plc Ordinary Shares ,United States
ADNWW,Advent Technologies Holdings Inc. Warrant,United States
ADP,Automatic Data Processing Inc. Common Stock,United States
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States
ADSK,Autodesk Inc. Common Stock,United States
ADT,ADT Inc. Common Stock,United States
ADTN,ADTRAN Holdings Inc. Common Stock,United States
ADTX,Aditxt Inc. Common Stock,United States
ADUS,Addus HomeCare Corporation Common Stock,United States
ADV,Advantage Solutions Inc. Class A Common Stock,United States
ADVM,Adverum Biotechnologies Inc. Common Stock,United States
ADVWW,Advantage Solutions Inc. Warrant,United States
ADX,Adams Diversified Equity Fund Inc.,United States
AEE,Ameren Corporation Common Stock,United States
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,United States
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States
AEHR,Aehr Test Systems Common Stock,United States
AEI,Alset Inc. Common Stock (TX),United States
AEIS,Advanced Energy Industries Inc. Common Stock,United States
AEMD,Aethlon Medical Inc. Common Stock,United States
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States
AENTW,Alliance Entertainment Holding Corporation Warrants,United States
AEO,American Eagle Outfitters Inc. Common Stock,United States
AEON,AEON Biopharma Inc. Class A Common Stock,United States
AEP,American Electric Power Company Inc. Common Stock,United States
AERT,Aeries Technology Inc. Class A Ordinary Share,United States
AERTW,Aeries Technology Inc. Warrant,United States
AES,The AES Corporation Common Stock,United States
AESI,Atlas Energy Solutions Inc. Common Stock,United States
AEVA,Aeva Technologies Inc. Common Stock,United States
AEVAW,Aeva Technologies Inc. Warrants,United States
AEYE,AudioEye Inc. Common Stock,United States
AFB,AllianceBernstein National Municipal Income Fund Inc,United States
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States
AFCG,Advanced Flower Capital Inc. Common Stock,United States
AFG,American Financial Group Inc. Common Stock,United States
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States
AFJKR,Aimei Health Technology Co. Ltd Right,United States
AFL,AFLAC Incorporated Common Stock,United States
AFRM,Affirm Holdings Inc. Class A Common Stock,United States
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States
AGCO,AGCO Corporation Common Stock,United States
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States
AGEN,Agenus Inc. Common Stock,United States
AGFY,Agrify Corporation Common Stock,United States
AGH,Aureus Greenway Holdings Inc. Common Stock,United States
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States
AGL,agilon health inc. Common Stock,United States
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States
AGNC,AGNC Investment Corp. Common Stock,United States
AGS,PlayAGS Inc. Common Stock,United States
AGX,Argan Inc. Common Stock,United States
AGYS,Agilysys Inc. Common Stock (DE),United States
AHCO,AdaptHealth Corp. Common Stock,United States
AHH,Armada Hoffler Properties Inc. Common Stock,United States
AHR,American Healthcare REIT Inc. Common Stock,United States
AHT,Ashford Hospitality Trust Inc Common Stock,United States
AI,C3.ai Inc. Class A Common Stock,United States
AIEV,Thunder Power Holdings Inc. Common Stock,United States
AIFF,Firefly Neuroscience Inc. Common Stock,United States
AIG,American International Group Inc. New Common Stock,United States
AIM,AIM ImmunoTech Inc. Common Stock,United States
AIMAU,Aimfinity Investment Corp. I Unit,United States
AIMAW,Aimfinity Investment Corp. I Warrant,United States
AIMBU,Aimfinity Investment Corp. I Subunit,United States
AIMD,Ainos Inc. Common Stock,United States
AIMDW,Ainos Inc. Warrants,United States
AIN,Albany International Corporation Common Stock,United States
AIOT,PowerFleet Inc. Common Stock,United States
AIP,Arteris Inc. Common Stock,United States
AIR,AAR Corp. Common Stock,United States
AIRE,reAlpha Tech Corp. Common Stock,United States
AIRG,Airgain Inc. Common Stock,United States
AIRI,Air Industries Group Common Stock,United States
AIRJ,AirJoule Technologies Corporation Class A Common Stock,United States
AIRJW,AirJoule Technologies Corporation Warrant,United States
AIRS,AirSculpt Technologies Inc. Common Stock,United States
AIRT,Air T Inc. Common Stock,United States
AISP,Airship AI Holdings Inc. Class A Common Stock,United States
AISPW,Airship AI Holdings Inc. Warrants,United States
AIT,Applied Industrial Technologies Inc. Common Stock,United States
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,United States
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,United States
AIV,Apartment Investment and Management Company Common Stock,United States
AIZ,Assurant Inc. Common Stock,United States
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States
AJG,Arthur J. Gallagher & Co. Common Stock,United States
AKAM,Akamai Technologies Inc. Common Stock,United States
AKBA,Akebia Therapeutics Inc. Common Stock,United States
AKR,Acadia Realty Trust Common Stock,United States
AKRO,Akero Therapeutics Inc. Common Stock,United States
AKYA,Akoya BioSciences Inc. Common Stock,United States
AL,Air Lease Corporation Class A Common Stock,United States
ALAB,Astera Labs Inc. Common Stock,United States
ALB,Albemarle Corporation Common Stock,United States
ALBT,Avalon GloboCare Corp. Common Stock,United States
ALCO,Alico Inc. Common Stock,United States
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,United States
ALDFU,Aldel Financial II Inc. Units,United States
ALDFW,Aldel Financial II Inc. Warrants,United States
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States
ALE,Allete Inc.,United States
ALEC,Alector Inc. Common Stock,United States
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,United States
ALFUU,Centurion Acquisition Corp. Unit,United States
ALFUW,Centurion Acquisition Corp. Warrant,United States
ALG,Alamo Group Inc. Common Stock,United States
ALGM,Allegro MicroSystems Inc. Common Stock,United States
ALGN,Align Technology Inc. Common Stock,United States
ALGS,Aligos Therapeutics Inc. Common Stock,United States
ALGT,Allegiant Travel Company Common Stock,United States
ALHC,Alignment Healthcare Inc. Common Stock,United States
ALIT,Alight Inc. Class A Common Stock,United States
ALK,Alaska Air Group Inc. Common Stock,United States
ALKT,Alkami Technology Inc. Common Stock,United States
ALL,Allstate Corporation (The) Common Stock,United States
ALLE,Allegion plc Ordinary Shares,United States
ALLK,Allakos Inc. Common Stock,United States
ALLO,Allogene Therapeutics Inc. Common Stock,United States
ALLR,Allarity Therapeutics Inc. Common Stock,United States
ALLY,Ally Financial Inc. Common Stock,United States
ALMS,Alumis Inc. Common Stock,United States
ALNT,Allient Inc. Common Stock,United States
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States
ALOT,AstroNova Inc. Common Stock,United States
ALRM,Alarm.com Holdings Inc. Common Stock,United States
ALRS,Alerus Financial Corporation Common Stock,United States
ALSN,Allison Transmission Holdings Inc. Common Stock,United States
ALT,Altimmune Inc. Common Stock,United States
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States
ALTI,AlTi Global Inc. Class A Common Stock,United States
ALTM,Arcadium Lithium plc Ordinary Shares,United States
ALTO,Alto Ingredients Inc. Common Stock,United States
ALTR,Altair Engineering Inc. Class A Common Stock,United States
ALTS,ALT5 Sigma Corporation Common Stock,United States
ALUR,Allurion Technologies Inc. Common Stock,United States
ALVR,AlloVir Inc. Common Stock,United States
ALX,Alexander's Inc. Common Stock,United States
ALXO,ALX Oncology Holdings Inc. Common Stock,United States
ALZN,Alzamend Neuro Inc. Common Stock,United States
AM,Antero Midstream Corporation Common Stock,United States
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States
AMAT,Applied Materials Inc. Common Stock,United States
AMBA,Ambarella Inc. Ordinary Shares,United States
AMBC,Ambac Financial Group Inc. Common Stock,United States
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States
AMCX,AMC Networks Inc. Class A Common Stock,United States
AMD,Advanced Micro Devices Inc. Common Stock,United States
AME,AMETEK Inc.,United States
AMED,Amedisys Inc Common Stock,United States
AMG,Affiliated Managers Group Inc. Common Stock,United States
AMGN,Amgen Inc. Common Stock,United States
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,United States
AMIX,Autonomix Medical Inc. Common Stock,United States
AMKR,Amkor Technology Inc. Common Stock,United States
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,United States
AMN,AMN Healthcare Services Inc,United States
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,United States
AMODW,Alpha Modus Holdings Inc. Warrant,United States
AMP,Ameriprise Financial Inc. Common Stock,United States
AMPG,Amplitech Group Inc. Common Stock,United States
AMPGW,Amplitech Group Inc. Warrants,United States
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States
AMPL,Amplitude Inc. Class A Common Stock,United States
AMPS,Altus Power Inc. Class A Common Stock,United States
AMPX,Amprius Technologies Inc. Common Stock,United States
AMPY,Amplify Energy Corp. Common Stock,United States
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States
AMRC,Ameresco Inc. Class A Common Stock,United States
AMRK,A-Mark Precious Metals Inc. Common Stock,United States
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States
AMS,American Shared Hospital Services Common Stock,United States
AMSC,American Superconductor Corporation Common Stock,United States
AMSF,AMERISAFE Inc. Common Stock,United States
AMST,Amesite Inc. Common Stock,United States
AMT,American Tower Corporation (REIT) Common Stock,United States
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States
AMTM,Amentum Holdings Inc. Common Stock,United States
AMTX,Aemetis Inc. (DE) Common Stock,United States
AMWD,American Woodmark Corporation Common Stock,United States
AMWL,American Well Corporation Class A Common Stock,United States
AMZN,Amazon.com Inc. Common Stock,United States
AN,AutoNation Inc. Common Stock,United States
ANAB,AnaptysBio Inc. Common Stock,United States
ANDE,Andersons Inc. (The) Common Stock,United States
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States
ANET,Arista Networks Inc. Common Stock,United States
ANF,Abercrombie & Fitch Company Common Stock,United States
ANGI,Angi Inc. Class A Common Stock,United States
ANGO,AngioDynamics Inc. Common Stock,United States
ANIK,Anika Therapeutics Inc. Common Stock,United States
ANIP,ANI Pharmaceuticals Inc.,United States
ANIX,Anixa Biosciences Inc. Common Stock,United States
ANNA,AleAnna Inc. Class A Common Stock,United States
ANNAW,AleAnna Inc. Warrant,United States
ANNX,Annexon Inc. Common Stock,United States
ANRO,Alto Neuroscience Inc. Common Stock,United States
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,United States
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,United States
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,United States
ANSS,ANSYS Inc. Common Stock,United States
ANTX,AN2 Therapeutics Inc. Common Stock,United States
ANVS,Annovis Bio Inc. Common Stock,United States
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States
AOMN,Angel Oak Mortgage REIT Inc. 9.500% Senior Notes due 2029,United States
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,United States
AON,Aon plc Class A Ordinary Shares (Ireland),United States
AORT,Artivion Inc. Common Stock,United States
AOS,A.O. Smith Corporation Common Stock,United States
AOUT,American Outdoor Brands Inc. Common Stock ,United States
AP,Ampco-Pittsburgh Corporation Common Stock,United States
APA,APA Corporation Common Stock,United States
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States
APCX,AppTech Payments Corp. Common Stock,United States
APCXW,AppTech Payments Corp. Warrant,United States
APD,Air Products and Chemicals Inc. Common Stock,United States
APDN,Applied DNA Sciences Inc. Common Stock,United States
APEI,American Public Education Inc. Common Stock,United States
APG,APi Group Corporation Common Stock,United States
APGE,Apogee Therapeutics Inc. Common Stock,United States
APH,Amphenol Corporation Common Stock,United States
APLD,Applied Digital Corporation Common Stock,United States
APLE,Apple Hospitality REIT Inc. Common Shares,United States
APLM,Apollomics Inc. Class A Ordinary Shares,United States
APLMW,Apollomics Inc. Warrant,United States
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States
APLT,Applied Therapeutics Inc. Common Stock,United States
APO,Apollo Global Management Inc. (New) Common Stock,United States
APOG,Apogee Enterprises Inc. Common Stock,United States
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,United States
APP,Applovin Corporation Class A Common Stock,United States
APPF,AppFolio Inc. Class A Common Stock,United States
APPN,Appian Corporation Class A Common Stock,United States
APPS,Digital Turbine Inc. Common Stock,United States
APRE,Aprea Therapeutics Inc. Common stock,United States
APVO,Aptevo Therapeutics Inc. Common Stock,United States
APYX,Apyx Medical Corporation Common Stock,United States
AQB,AquaBounty Technologies Inc. Common Stock,United States
AQMS,Aqua Metals Inc. Common Stock,United States
AQN,Algonquin Power & Utilities Corp. Common Shares,United States
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,United States
AQST,Aquestive Therapeutics Inc. Common Stock,United States
AQU,Aquaron Acquisition Corp. Common Stock,United States
AQUNR,Aquaron Acquisition Corp. Rights,United States
AQUNU,Aquaron Acquisition Corp. Units,United States
AR,Antero Resources Corporation Common Stock,United States
ARAY,Accuray Incorporated Common Stock,United States
ARCB,ArcBest Corporation Common Stock,United States
ARCC,Ares Capital Corporation Common Stock,United States
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States
ARDX,Ardelyx Inc. Common Stock,United States
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States
AREB,American Rebel Holdings Inc. Common Stock,United States
AREBW,American Rebel Holdings Inc. Warrants,United States
AREC,American Resources Corporation Class A Common Stock,United States
AREN,The Arena Group Holdings Inc. Common Stock,United States
ARES,Ares Management Corporation Class A Common Stock,United States
ARHS,Arhaus Inc. Class A Common Stock,United States
ARI,Apollo Commercial Real Estate Finance Inc,United States
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States
ARKO,ARKO Corp. Common Stock,United States
ARKOW,ARKO Corp. Warrant,United States
ARKR,Ark Restaurants Corp. Common Stock,United States
ARL,American Realty Investors Inc. Common Stock,United States
ARLO,Arlo Technologies Inc. Common Stock,United States
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States
ARMK,Aramark Common Stock,United States
ARMP,Armata Pharmaceuticals Inc. Common Stock,United States
AROC,Archrock Inc. Common Stock,United States
AROW,Arrow Financial Corporation Common Stock,United States
ARQ,Arq Inc. Common Stock,United States
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States
ARR,ARMOUR Residential REIT Inc.,United States
ARRY,Array Technologies Inc. Common Stock,United States
ARTL,Artelo Biosciences Inc. Common Stock,United States
ARTNA,Artesian Resources Corporation Class A Common Stock,United States
ARTV,Artiva Biotherapeutics Inc. Common Stock,United States
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,United States
ARVN,Arvinas Inc. Common Stock,United States
ARW,Arrow Electronics Inc. Common Stock,United States
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States
ASA,ASA  Gold and Precious Metals Limited,United States
ASAN,Asana Inc. Class A Common Stock,United States
ASB,Associated Banc-Corp Common Stock,United States
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States
ASBP,Aspire Biopharma Holdings Inc. Common Stock,United States
ASBPW,Aspire Biopharma Holdings Inc. Warrant,United States
ASG,Liberty All-Star Growth Fund Inc.,United States
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,United States
ASGN,ASGN Incorporated Common Stock,United States
ASH,Ashland Inc. Common Stock,United States
ASIX,AdvanSix Inc. Common Stock ,United States
ASLE,AerSale Corporation Common Stock,United States
ASMB,Assembly Biosciences Inc. Common Stock,United States
ASNS,Actelis Networks Inc. Common Stock,United States
ASO,Academy Sports and Outdoors Inc. Common Stock,United States
ASPI,ASP Isotopes Inc. Common Stock,United States
ASPN,Aspen Aerogels Inc. Common Stock,United States
ASRT,Assertio Holdings Inc. Common Stock,United States
ASRV,AmeriServ Financial Inc. Common Stock,United States
ASST,Asset Entities Inc. Class B Common Stock,United States
ASTC,Astrotech Corporation (DE) Common Stock,United States
ASTE,Astec Industries Inc. Common Stock,United States
ASTH,Astrana Health Inc. Common Stock,United States
ASTI,Ascent Solar Technologies Inc. Common Stock,United States
ASTS,AST SpaceMobile Inc. Class A Common Stock,United States
ASUR,Asure Software Inc Common Stock,United States
ASYS,Amtech Systems Inc. Common Stock,United States
ATEC,Alphatec Holdings Inc. Common Stock,United States
ATEN,A10 Networks Inc. Common Stock,United States
ATER,Aterian Inc. Common Stock,United States
ATEX,Anterix Inc. Common Stock,United States
ATGE,Adtalem Global Education Inc. Common Stock,United States
ATHA,Athira Pharma Inc. Common Stock,United States
ATI,ATI Inc. Common Stock,United States
ATIIU,Archimedes Tech SPAC Partners II Co. Unit,United States
ATKR,Atkore Inc. Common Stock,United States
ATLC,Atlanticus Holdings Corporation Common Stock,United States
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,United States
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,United States
ATLN,Atlantic International Corp. Common Stock,United States
ATLO,Ames National Corporation Common Stock,United States
ATLX,Atlas Lithium Corporation Common Stock,United States
ATMC,AlphaTime Acquisition Corp Ordinary Shares,United States
ATMCR,AlphaTime Acquisition Corp Right,United States
ATMCU,AlphaTime Acquisition Corp Unit,United States
ATMCW,AlphaTime Acquisition Corp Warrant,United States
ATMU,Atmus Filtration Technologies Inc. Common Stock,United States
ATMV,AlphaVest Acquisition Corp Ordinary Shares,United States
ATMVR,AlphaVest Acquisition Corp Right.,United States
ATNF,180 Life Sciences Corp. Common Stock,United States
ATNFW,180 Life Sciences Corp. Warrant,United States
ATNI,ATN International Inc. Common Stock,United States
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,United States
ATO,Atmos Energy Corporation Common Stock,United States
ATOM,Atomera Incorporated Common Stock,United States
ATOS,Atossa Therapeutics Inc. Common Stock,United States
ATR,AptarGroup Inc. Common Stock,United States
ATRA,Atara Biotherapeutics Inc. Common Stock,United States
ATRC,AtriCure Inc. Common Stock,United States
ATRO,Astronics Corporation Common Stock,United States
ATSG,Air Transport Services Group Inc,United States
ATUS,Altice USA Inc. Class A Common Stock,United States
ATXI,Avenue Therapeutics Inc. Common Stock,United States
ATXS,Astria Therapeutics Inc. Common Stock,United States
ATYR,aTyr Pharma Inc. Common Stock,United States
AUB,Atlantic Union Bankshares Corporation Common Stock,United States
AUBN,Auburn National Bancorporation Inc. Common Stock,United States
AUID,authID Inc. Common Stock,United States
AUR,Aurora Innovation Inc. Class A Common Stock,United States
AURA,Aura Biosciences Inc. Common Stock,United States
AUROW,Aurora Innovation Inc. Warrant,United States
AUUD,Auddia Inc. Common Stock,United States
AUUDW,Auddia Inc. Warrants,United States
AVA,Avista Corporation Common Stock,United States
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,United States
AVAV,AeroVironment Inc. Common Stock,United States
AVB,AvalonBay Communities Inc. Common Stock,United States
AVBP,ArriVent BioPharma Inc. Common Stock,United States
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States
AVDX,AvidXchange Holdings Inc. Common Stock,United States
AVGO,Broadcom Inc. Common Stock,United States
AVIR,Atea Pharmaceuticals Inc. Common Stock,United States
AVK,Advent Convertible and Income Fund,United States
AVNS,Avanos Medical Inc. Common Stock,United States
AVNT,Avient Corporation Common Stock,United States
AVNW,Aviat Networks Inc. Common Stock,United States
AVO,Mission Produce Inc. Common Stock,United States
AVPT,AvePoint Inc. Class A Common Stock,United States
AVPTW,AvePoint Inc. Warrant,United States
AVR,Anteris Technologies Global Corp. Common Stock,United States
AVT,Avnet Inc. Common Stock,United States
AVTE,Aerovate Therapeutics Inc. Common Stock,United States
AVTR,Avantor Inc. Common Stock,United States
AVTX,Avalo Therapeutics Inc. Common Stock,United States
AVXL,Anavex Life Sciences Corp. Common Stock,United States
AVY,Avery Dennison Corporation Common Stock,United States
AWF,Alliancebernstein Global High Income Fund,United States
AWH,Aspira Women's Health Inc. Common Stock,United States
AWI,Armstrong World Industries Inc Common Stock,United States
AWK,American Water Works Company Inc. Common Stock,United States
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States
AWR,American States Water Company Common Stock,United States
AWRE,Aware Inc. Common Stock,United States
AWX,Avalon Holdings Corporation Common Stock,United States
AX,Axos Financial Inc. Common Stock,United States
AXDX,Accelerate Diagnostics Inc. Common Stock,United States
AXGN,Axogen Inc. Common Stock,United States
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States
AXON,Axon Enterprise Inc. Common Stock,United States
AXP,American Express Company Common Stock,United States
AXR,AMREP Corporation Common Stock,United States
AXSM,Axsome Therapeutics Inc. Common Stock,United States
AXTA,Axalta Coating Systems Ltd. Common Shares,United States
AXTI,AXT Inc Common Stock,United States
AYI,Acuity Brands Inc. ,United States
AYRO,AYRO Inc. Common Stock,United States
AYTU,Aytu BioPharma Inc.  Common Stock,United States
AZEK,The AZEK Company Inc. Class A Common Stock,United States
AZO,AutoZone Inc. Common Stock,United States
AZPN,Aspen Technology Inc. Common Stock,United States
AZTA,Azenta Inc.,United States
AZZ,AZZ Inc.,United States
BA,Boeing Company (The) Common Stock,United States
BAC,Bank of America Corporation Common Stock,United States
BACK,IMAC Holdings Inc. Common Stock,United States
BACQ,Bleichroeder Acquisition Corp. I Class A Ordinary Shares,United States
BACQR,Bleichroeder Acquisition Corp. I Right,United States
BACQU,Bleichroeder Acquisition Corp. I Unit,United States
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,United States
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,United States
BAFN,BayFirst Financial Corp. Common Stock,United States
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States
BALL,Ball Corporation Common Stock,United States
BALY,Bally's Corporation Common Stock,United States
BANC,Banc of California Inc. Common Stock,United States
BAND,Bandwidth Inc. Class A Common Stock,United States
BANF,BancFirst Corporation Common Stock,United States
BANR,Banner Corporation Common Stock,United States
BANX,ArrowMark Financial Corp. Common Stock,United States
BARK,BARK Inc. Class A Common Stock,United States
BASE,Couchbase Inc. Common Stock,United States
BATL,Battalion Oil Corporation Common Stock,United States
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,United States
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,United States
BAX,Baxter International Inc. Common Stock,United States
BAYA,Bayview Acquisition Corp Ordinary Shares,United States
BAYAR,Bayview Acquisition Corp Right,United States
BBAI,BigBear.ai Inc. Common Stock,United States
BBCP,Concrete Pumping Holdings Inc. Common Stock,United States
BBDC,Barings BDC Inc. Common Stock,United States
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,United States
BBIO,BridgeBio Pharma Inc. Common Stock,United States
BBLG,Bone Biologics Corp Common Stock,United States
BBLGW,Bone Biologics Corp Warrants,United States
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States
BBNX,Beta Bionics Inc. Common Stock,United States
BBSI,Barrett Business Services Inc. Common Stock,United States
BBW,Build-A-Bear Workshop Inc. Common Stock,United States
BBWI,Bath & Body Works Inc.,United States
BBY,Best Buy Co. Inc. Common Stock,United States
BC,Brunswick Corporation Common Stock,United States
BCAB,BioAtla Inc. Common Stock,United States
BCAL,California BanCorp Common Stock,United States
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States
BCAX,Bicara Therapeutics Inc. Common Stock,United States
BCBP,BCB Bancorp Inc. (NJ) Common Stock,United States
